"活动总结","活动名称","活动地点","参加人员范围","活动具体实施方案","活动时间"
"4月15日为我国首个全民国家安全教育日，根据区普法办公室《关于开展415全民国家安全教育日宣传教育活动的通知》要求，区住房和城乡建设局积极开展宣传教育活动。","普法宣传","古城","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科","一是开展主题活动。在系统内开展国家安全宣传教育月活动，系统宣传总体国家安全观战略思想内容，加大对《国家安全法》 《反恐怖主义法》等国家安全相关法律法规的普法宣传力度，提高了建设系统干部职工的法治水平。","2021-04-15 00:00:00.0"
"4月15日为我国首个全民国家安全教育日，根据区普法办公室《关于开展415全民国家安全教育日宣传教育活动的通知》要求，区住房和城乡建设局积极开展宣传教育活动。","普法宣传","古城","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科","一是开展主题活动。在系统内开展国家安全宣传教育月活动，系统宣传总体国家安全观战略思想内容，加大对《国家安全法》 《反恐怖主义法》等国家安全相关法律法规的普法宣传力度，提高了建设系统干部职工的法治水平。","2021-04-15 00:00:00.0"
"4月15日为我国首个全民国家安全教育日，根据区普法办公室《关于开展415全民国家安全教育日宣传教育活动的通知》要求，区住房和城乡建设局积极开展宣传教育活动。","普法宣传","古城","房产产管理服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科","一是开展主题活动。在系统内开展国家安全宣传教育月活动，系统宣传总体国家安全观战略思想内容，加大对《国家安全法》 《反恐怖主义法》等国家安全相关法律法规的普法宣传力度，提高了建设系统干部职工的法治水平。","2022-04-15 00:00:00.0"
"4月15日为我国首个全民国家安全教育日，根据区普法办公室《关于开展415全民国家安全教育日宣传教育活动的通知》要求，区住房和城乡建设局积极开展宣传教育活动。","普法宣传","古城","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科","一是开展主题活动。在系统内开展国家安全宣传教育月活动，系统宣传总体国家安全观战略思想内容，加大对《国家安全法》 《反恐怖主义法》等国家安全相关法律法规的普法宣传力度，提高了建设系统干部职工的法治水平。","2021-04-15 00:00:00.0"
"9月29日上午，建筑业管理服务中心、市政和园林环卫服务中心、排水和河道管理服务中心共9个业务科室，在即墨区德馨小学东校区项目部，对全区12所新建中小学项目涉及的建设单位、施工单位、监理单位开展面对面现场服务，集中对相关项目施工节点及竣工验收等环节的工作要求、注意事项进行技术交底，当场解答项目参建单位提出的具体问题，为项目建设工作扫清障碍，","为推进全区新建中小学项目顺利有序实施，我局主动将服务关口前移","即墨区德馨小学东校区项目部","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","在即墨区德馨小学东校区项目部，对全区12所新建中小学项目涉及的建设单位、施工单位、监理单位开展面对面现场服务，集中对相关项目施工节点及竣工验收等环节的工作要求、注意事项进行技术交底，当场解答项目参建单位提出的具体问题，为项目建设工作扫清障碍，缩短项目验收耗时，提高验收效率。同时，针对项目下步的安全文明施工提出了具体要求。","2021-09-22 00:00:00.0"
"9月29日上午，建筑业管理服务中心、市政和园林环卫服务中心、排水和河道管理服务中心共9个业务科室，在即墨区德馨小学东校区项目部，对全区12所新建中小学项目涉及的建设单位、施工单位、监理单位开展面对面现场服务，集中对相关项目施工节点及竣工验收等环节的工作要求、注意事项进行技术交底，当场解答项目参建单位提出的具体问题，为项目建设工作扫清障碍，","为推进全区新建中小学项目顺利有序实施，我局主动将服务关口前移","即墨区德馨小学东校区项目部","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","在即墨区德馨小学东校区项目部，对全区12所新建中小学项目涉及的建设单位、施工单位、监理单位开展面对面现场服务，集中对相关项目施工节点及竣工验收等环节的工作要求、注意事项进行技术交底，当场解答项目参建单位提出的具体问题，为项目建设工作扫清障碍，缩短项目验收耗时，提高验收效率。同时，针对项目下步的安全文明施工提出了具体要求。","2021-09-22 00:00:00.0"
"9月29日上午，建筑业管理服务中心、市政和园林环卫服务中心、排水和河道管理服务中心共9个业务科室，在即墨区德馨小学东校区项目部，对全区12所新建中小学项目涉及的建设单位、施工单位、监理单位开展面对面现场服务，集中对相关项目施工节点及竣工验收等环节的工作要求、注意事项进行技术交底，当场解答项目参建单位提出的具体问题，为项目建设工作扫清障碍，","为推进全区新建中小学项目顺利有序实施，我局主动将服务关口前移","即墨区德馨小学东校区项目部","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","在即墨区德馨小学东校区项目部，对全区12所新建中小学项目涉及的建设单位、施工单位、监理单位开展面对面现场服务，集中对相关项目施工节点及竣工验收等环节的工作要求、注意事项进行技术交底，当场解答项目参建单位提出的具体问题，为项目建设工作扫清障碍，缩短项目验收耗时，提高验收效率。同时，针对项目下步的安全文明施工提出了具体要求。","2021-09-22 00:00:00.0"
"区住建局组织召开了全区2021-2022采暖季集中供热工作会议，位局长、孙永健副局长、王思涛主任及各供热企业参加了会议。会议传达了省能源保供和温暖过冬视频会议精神，并听取了各供热企业供热准备相关情况的汇报，","采暖季集中供热工作会议","区住建局","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","对下一步工作进行了部署，要求提高政治站位，面对今年的严峻形势，千方百计做好煤炭储备等能源保障工作，全面梳理排查供热设施建设维修、应急队伍建设、安全生产隐患及供热服务能力等方面问题，不断转变工作理念，提高工作标准，守住以人民为中心服务底线，全力做好今冬明春集中供热保障工作。","2021-10-22 00:00:00.0"
"区住建局组织召开了全区2021-2022采暖季集中供热工作会议，位局长、孙永健副局长、王思涛主任及各供热企业参加了会议。会议传达了省能源保供和温暖过冬视频会议精神，并听取了各供热企业供热准备相关情况的汇报，","采暖季集中供热工作会议","区住建局","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","对下一步工作进行了部署，要求提高政治站位，面对今年的严峻形势，千方百计做好煤炭储备等能源保障工作，全面梳理排查供热设施建设维修、应急队伍建设、安全生产隐患及供热服务能力等方面问题，不断转变工作理念，提高工作标准，守住以人民为中心服务底线，全力做好今冬明春集中供热保障工作。","2021-10-22 00:00:00.0"
"区住建局组织召开了全区2021-2022采暖季集中供热工作会议，位局长、孙永健副局长、王思涛主任及各供热企业参加了会议。会议传达了省能源保供和温暖过冬视频会议精神，并听取了各供热企业供热准备相关情况的汇报，","采暖季集中供热工作会议","区住建局","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","对下一步工作进行了部署，要求提高政治站位，面对今年的严峻形势，千方百计做好煤炭储备等能源保障工作，全面梳理排查供热设施建设维修、应急队伍建设、安全生产隐患及供热服务能力等方面问题，不断转变工作理念，提高工作标准，守住以人民为中心服务底线，全力做好今冬明春集中供热保障工作。","2021-10-22 00:00:00.0"
"为加强城建法规宣传学习，城建局于2021年12月04日下午，在墨河广场设点宣传城市建设法律法规。宣传内容涉及《宪法》、《城市绿化管理条例》等宣传材料。
","普法宣传","墨河公园","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科","一是设置法律法规咨询台，开展城市建设法律法规宣传咨询活动，面对面地接受群众咨询，并发放宣传材料；共发放宣传材料500余份。
二是通过悬挂宣传横幅、板报等形式宣传各项法律法规和规章制度。
三是组织工作人员向居民发放城市建设法律法规宣传材料，宣传《民法典》。
通过以上形式的法律法规宣传活动，增进了群众对城市建设工作的了解和认识，为构建和谐城建营造了良好氛围。
","2021-12-04 00:00:00.0"
"为加强城建法规宣传学习，城建局于2021年12月04日下午，在墨河广场设点宣传城市建设法律法规。宣传内容涉及《宪法》、《城市绿化管理条例》等宣传材料。
","普法宣传","墨河公园","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科","一是设置法律法规咨询台，开展城市建设法律法规宣传咨询活动，面对面地接受群众咨询，并发放宣传材料；共发放宣传材料500余份。
二是通过悬挂宣传横幅、板报等形式宣传各项法律法规和规章制度。
三是组织工作人员向居民发放城市建设法律法规宣传材料，宣传《民法典》。
通过以上形式的法律法规宣传活动，增进了群众对城市建设工作的了解和认识，为构建和谐城建营造了良好氛围。
","2021-12-04 00:00:00.0"
"为加强城建法规宣传学习，城建局于2021年5月22日下午，在墨河广场设点宣传城市建设法律法规。宣传内容涉及《民法典》、《城市绿化管理条例等宣传材料。
","普法宣传","古城","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科","二是丰富宣传方式。围绕提高全民国家安全意识，住建局通过在电子显示屏滚动播放宣传标语，制作宣传材料，制作条幅，在古城参与定点集中宣传等方式，夯实和筑牢国家安全的群众基础。","2021-05-22 00:00:00.0"
